X,Y,OBJECTID,C28_003,C28_004,C28_005,C28_006,C28_007,C28_009,C28_010,C28_011,C28_012,C28_013
129.915155927704,32.916924469289,1,2,供用中,長崎空港,1,1,0700,2200,1,3000,60
131.033759943467,33.8432219040678,2,2,供用中,北九州空港,1,1,0000,2400,1,2500,60
140.418039520807,36.1829133898412,3,6,供用中,百里飛行場,2,2,0730,2100,1,"2700,2700","45,45"
133.323283319969,36.177724412252,4,4,供用中,隠岐空港,5,5,0900,1700,2,2000,45
135.43901873023,34.7868417860198,5,1,供用中,大阪国際空港,4,4,0700,2100,1,"1828,3000","45,60"
141.039463343858,45.454771242599,6,4,休止中,礼文空港,5,5,1000,1500,3,800,25
141.18665166894,45.2420712940552,7,4,供用中,利尻空港,5,5,0900,1700,1,1800,45
143.216917547107,42.7330452155644,8,3,供用中,帯広空港,1,6,0800,2100,1,2500,45
144.19363951755,43.0421068108808,9,2,供用中,釧路空港,1,1,0800,2100,1,2500,45
144.959740402398,43.5765348534009,10,4,供用中,中標津空港,5,5,0830,1830,1,2000,45
144.163142723658,43.8810992116594,11,4,供用中,女満別空港,5,5,0800,2100,1,2500,45
143.403830508871,44.3044195596152,12,4,供用中,紋別空港,5,5,0900,1700,1,2000,45
142.44824145448,43.671605555752,14,3,供用中,旭川空港,1,6,0800,2100,1,2500,60
141.683497397487,42.7845555998612,15,2,供用中,新千歳空港,1,1,0000,2400,1,"3000,3000","60,60"
141.381438532462,43.1157074467415,16,6,供用中,札幌飛行場,2,2,0730,2030,2,1500,45
140.821488166446,41.7709562553271,17,2,供用中,函館空港,1,1,0730,2030,1,3000,45
140.691265008574,40.7357926717945,18,4,供用中,青森空港,5,5,0730,2200,1,3000,60
141.369982484404,40.7029005974848,19,6,供用中,三沢飛行場,3,3,0830,2000,1,3050,45
140.371706662133,40.1925941358109,20,4,供用中,大館能代空港,5,5,0800,1930,1,2000,45
140.217459551118,39.6146943233845,21,3,供用中,秋田空港,1,5,0700,2200,1,2500,60
141.135284461209,39.429182624079,22,4,供用中,花巻空港,5,5,0800,1930,1,2500,45
139.786904332669,38.8128193140603,23,4,供用中,庄内空港,5,5,0700,2200,1,2000,45
140.371125481556,38.4111512712144,24,3,供用中,山形空港,1,5,0800,2000,1,2000,45
140.918892987222,38.1387645073763,25,2,供用中,仙台空港,1,1,0730,2130,1,"1200,3000","45,45"
140.429286487282,37.2284469731495,26,4,供用中,福島空港,5,5,0800,2100,1,2500,60
139.528575226965,35.6715133912302,27,5,供用中,調布飛行場,5,5,0830,1800,2,800,30
139.132815996162,34.1899092290279,28,4,供用中,神津島空港,5,5,0830,1715,2,800,25
139.361271080396,34.7827153898036,29,4,供用中,大島空港,5,5,0830,1630,1,1800,45
139.268240726628,34.3696395772049,30,4,供用中,新島空港,5,5,0830,1715,2,800,25
139.559596852613,34.0723630334274,31,4,供用中,三宅島空港,5,5,0900,1700,2,1200,30
139.78509187499,33.1152543370182,32,4,供用中,八丈島空港,5,5,0800,1800,1,2000,45
136.923148416267,35.255114736556,33,5,供用中,名古屋飛行場,5,5,0700,2200,1,2740,45
135.597274913706,34.5969940567305,34,5,供用中,八尾空港,1,1,0800,1930,3,"1490,1200","45,30"
135.364345216659,33.6619542412953,35,4,供用中,南紀白浜空港,5,5,0830,2000,1,2000,45
